question,answer
Tôi có thể xem thông tin thẻ trên điện thoại không?,"Có, bạn có thể xem thông tin thẻ như số thẻ, ngày hết hạn trong mục ""Quản lý thẻ"" trên ứng dụng, nhưng một số thông tin như CVV có thể bị ẩn vì lý do bảo mật."
Làm thế nào để kiểm tra xem thẻ của tôi có bị mất không?,"Nếu nghi ngờ thẻ bị mất, bạn có thể kiểm tra trạng thái thẻ trong mục ""Quản lý thẻ"" hoặc gọi đến tổng đài hỗ trợ để xác minh và yêu cầu khóa thẻ tạm thời nếu cần."
Làm thế nào để liên kết thẻ trong ứng dụng?,"Vào mục ""Liên kết thẻ"", nhập thông tin thẻ (số thẻ, ngày hết hạn, mã CVV) và làm theo hướng dẫn. Bạn có thể cần xác minh qua mã OTP gửi về số điện thoại đăng ký."
Có cần phải nhập mã PIN khi liên kết thẻ không?,"Không, thông thường bạn chỉ cần thông tin thẻ và mã OTP để liên kết. Mã PIN thường được sử dụng cho giao dịch rút tiền hoặc thanh toán trực tiếp."
Nếu tôi không nhận được thông báo liên kết thành công thì sao?,"Kiểm tra kết nối mạng và thử lại. Nếu vẫn không thành công, liên hệ bộ phận hỗ trợ khách hàng để kiểm tra trạng thái liên kết."
Tôi có thể xem số dư thẻ khi offline không?,"Không, bạn cần kết nối internet để cập nhật và xem số dư thẻ."
Làm thế nào để chọn thẻ muốn xem lịch sử giao dịch?,"Trong mục ""Lịch sử giao dịch"", chọn thẻ từ danh sách thẻ liên kết hoặc sử dụng bộ lọc để chọn thẻ cụ thể."
"Nếu tôi không thấy giao dịch nào, có phải là có lỗi không?","Không hẳn, có thể không có giao dịch nào trong khoảng thời gian bạn chọn. Kiểm tra lại bộ lọc thời gian hoặc liên hệ hỗ trợ nếu nghi ngờ lỗi hệ thống."
Làm thế nào để chuyển tiền từ ví đến số tài khoản?,"Vào mục ""Chuyển tiền"", chọn ""Từ ví đến tài khoản"", nhập thông tin số tài khoản, ngân hàng và số tiền, sau đó xác nhận giao dịch bằng OTP hoặc mã PIN."
Có cần chọn ngân hàng không khi chuyển tiền?,"Có, bạn cần chọn ngân hàng của tài khoản nhận để đảm bảo giao dịch được xử lý chính xác."
Tôi phải nhập những thông tin gì khi chuyển tiền?,"Thông tin bao gồm: số tài khoản người nhận, ngân hàng nhận, số tiền muốn chuyển, và nội dung chuyển tiền (nếu cần)."
Làm thế nào để biết tiền đã được chuyển thành công?,"Bạn sẽ nhận được thông báo ""Giao dịch thành công"" trong ứng dụng và có thể kiểm tra trong ""Lịch sử giao dịch"" để xác nhận."
Có thể chuyển tiền mà không cần xác thực mConnect không?,"Không, để đảm bảo an toàn, các giao dịch chuyển tiền thường yêu cầu xác thực bằng OTP, mConnect, hoặc mã PIN."
Có cần chọn ngân hàng trước khi nhập số tài khoản không?,"Không bắt buộc, nhưng chọn ngân hàng trước có thể giúp hệ thống xác minh số tài khoản nhanh hơn."
Làm thế nào để chuyển tiền qua mã QR trong app?,"Chọn mục ""Quét mã QR"", hướng camera vào mã QR, xác nhận thông tin tài khoản nhận và nhập số tiền cần chuyển, sau đó hoàn tất giao dịch."
Làm thế nào để chọn nguồn tiền cho giao dịch?,"Trong mục thanh toán hoặc chuyển tiền, bạn có thể chọn nguồn tiền từ danh sách ví, tài khoản, hoặc thẻ đã liên kết."
Nếu mã QR không quét được thì tôi phải làm gì?,"Kiểm tra ánh sáng, đảm bảo mã QR không bị mờ hoặc hỏng. Nếu vẫn không được, bạn có thể nhập thông tin tài khoản nhận theo cách thủ công."
Làm thế nào để thanh toán hóa đơn điện qua app?,"Vào mục ""Thanh toán hóa đơn"", chọn ""Điện"", nhập mã khách hàng hoặc quét mã hóa đơn, kiểm tra thông tin và xác nhận thanh toán."
Làm thế nào để biết hóa đơn điện đã được thanh toán thành công?,"Sau khi thanh toán, bạn sẽ nhận được thông báo ""Thanh toán thành công"" trên ứng dụng. Thông tin cũng sẽ hiển thị trong mục ""Lịch sử giao dịch""."
Tôi có thể thanh toán hóa đơn nước cho người khác không?,"Có, chỉ cần nhập đúng mã khách hàng hoặc thông tin hóa đơn của người đó trong mục ""Thanh toán hóa đơn""."
Có thông tin gì cần lưu ý khi thanh toán bảo hiểm không?,"Kiểm tra kỹ mã hợp đồng, số tiền phải thanh toán, và hạn thanh toán để tránh trễ hạn. Bạn nên lưu lại biên lai sau khi giao dịch thành công."
Làm thế nào để thanh toán phí VETC qua app?,"Vào mục ""Thanh toán hóa đơn"", chọn ""VETC"", nhập mã khách hàng hoặc biển số xe, kiểm tra thông tin và xác nhận thanh toán."
Tôi có thể đặt vé máy bay từ đâu?,"Truy cập mục ""Đặt vé máy bay"" trong ứng dụng, nhập thông tin điểm đi, điểm đến, ngày bay, và chọn chuyến bay phù hợp để tiến hành đặt vé."
Tôi có thể tìm vé xe ở đâu trong app?,"Vào mục ""Đặt vé xe"", nhập điểm đi, điểm đến, ngày khởi hành để xem các chuyến xe có sẵn."
Làm thế nào để chọn chỗ ngồi trên xe?,"Khi đặt vé, hệ thống thường hiển thị sơ đồ chỗ ngồi. Bạn có thể chọn chỗ ngồi còn trống theo ý muốn trước khi xác nhận đặt vé."
Có cần nhập thông tin khách hàng không?,"Có, bạn cần nhập thông tin như tên, số điện thoại và CMND/CCCD (nếu yêu cầu) để hoàn tất việc đặt vé."
Làm thế nào để biết vé xe đã đặt thành công?,"Sau khi đặt vé, bạn sẽ nhận được thông báo ""Đặt vé thành công"" kèm mã vé. Bạn cũng có thể kiểm tra trong mục ""Lịch sử giao dịch""."
Làm thế nào để biết được thời gian khởi hành của chuyến xe?,"Thời gian khởi hành được hiển thị rõ trong chi tiết vé. Bạn cũng có thể xem lại thông tin trong mục ""Vé của tôi"" hoặc ""Lịch sử giao dịch""."
Tôi có thể đặt vé cho chuyến xe trong ngày không?,"Có, nếu chuyến xe đó còn chỗ trống, bạn có thể đặt vé ngay trong ngày. Tuy nhiên, hãy kiểm tra thời gian còn lại trước khi xe khởi hành."
Tôi cần làm gì để chọn vé tàu?,"Vào mục ""Đặt vé tàu"", nhập ga đi, ga đến, ngày đi và chọn chuyến tàu phù hợp. Bạn có thể chọn ghế ngồi hoặc giường nằm tùy theo nhu cầu."
Làm thế nào để biết vé tàu đã đặt thành công?,"Sau khi đặt vé, hệ thống sẽ hiển thị thông báo ""Đặt vé thành công"" và gửi mã vé qua email hoặc ứng dụng."
Hệ thống có hiển thị thông tin suất chiếu không?,"Có, trong mục ""Đặt vé xem phim"", bạn có thể xem chi tiết về suất chiếu, giờ chiếu và rạp phim."
Làm thế nào để biết có vé trống không?,"Khi chọn suất chiếu hoặc chuyến đi, hệ thống sẽ hiển thị các chỗ trống có sẵn để bạn chọn. Nếu không có chỗ, thông báo sẽ được hiển thị."
Làm thế nào để nạp thẻ điện thoại qua app?,"Vào mục ""Nạp thẻ điện thoại"", chọn nhà mạng, nhập số điện thoại, chọn mệnh giá, kiểm tra thông tin và xác nhận giao dịch."
Nếu tôi chọn sai mệnh giá thì sao?,"Bạn cần hủy giao dịch trước khi xác nhận thanh toán. Sau khi giao dịch hoàn tất, không thể hoàn tiền hoặc thay đổi mệnh giá."
Làm thế nào để biết nạp thẻ thành công?,"Sau khi nạp, bạn sẽ nhận được thông báo ""Nạp tiền thành công"". Số tiền nạp cũng được hiển thị trong lịch sử giao dịch."
Có cần nhập mã xác nhận khi nạp thẻ không?,"Có, bạn cần nhập mã OTP hoặc mã PIN để xác nhận giao dịch, đảm bảo tính an toàn."
Tôi có thể tất toán sổ tiết kiệm mà không cần đến ngân hàng không?,"Có, bạn có thể tất toán sổ tiết kiệm trực tiếp trên ứng dụng nếu tài khoản ngân hàng của bạn được liên kết."
Tôi có thể rút bao nhiêu tiền từ sổ tiết kiệm?,Số tiền rút phụ thuộc vào số dư trong sổ tiết kiệm và các điều khoản của ngân hàng. Một số sổ tiết kiệm yêu cầu tất toán toàn bộ số dư.
Tôi cần làm gì để mở thẻ tín dụng phi vật lý?,"Vào mục ""Quản lý thẻ"", chọn ""Mở thẻ tín dụng phi vật lý"", nhập thông tin cá nhân, xác minh tài khoản và làm theo hướng dẫn của ứng dụng."
Tôi có thể mở thẻ tín dụng phi vật lý từ đâu trong app?,"Truy cập mục ""Dịch vụ thẻ"", sau đó chọn ""Mở thẻ tín dụng phi vật lý"". Làm theo các bước được hướng dẫn trong ứng dụng."
Làm thế nào để thêm tài khoản SacombankPay vào danh bạ thụ hưởng?,"Vào mục ""Thêm người thụ hưởng"", nhập số tài khoản hoặc số điện thoại SacombankPay, xác nhận thông tin và lưu vào danh bạ thụ hưởng."
Có thể thêm nhiều tài khoản SacombankPay không?,"Có, bạn có thể thêm nhiều tài khoản SacombankPay vào danh bạ thụ hưởng mà không giới hạn số lượng."
Làm thế nào để biết tài khoản SacombankPay đã được thêm thành công?,"Sau khi thêm, bạn sẽ nhận được thông báo ""Thêm thành công"". Tài khoản mới sẽ hiển thị trong danh sách thụ hưởng."
Tôi có thể xem danh sách người thụ hưởng đã thêm ở đâu?,"Vào mục ""Quản lý danh bạ thụ hưởng"" hoặc ""Danh sách người thụ hưởng"" trong ứng dụng để xem danh sách đã lưu."
Làm thế nào để thêm số tài khoản vào danh bạ thụ hưởng?,"Vào mục ""Thêm người thụ hưởng"", nhập số tài khoản, tên ngân hàng và thông tin cần thiết, sau đó xác nhận để lưu vào danh bạ."
Có thể tắt thanh toán hóa đơn tự động không?,"Có, vào mục ""Quản lý hóa đơn"", chọn hóa đơn cần tắt và tắt tùy chọn ""Thanh toán tự động""."
Làm thế nào để kiểm tra danh sách tài khoản đã lưu?,"Vào mục ""Danh sách tài khoản"" trong ứng dụng để xem tất cả tài khoản đã lưu, bao gồm tài khoản ngân hàng và SacombankPay."
Làm thế nào để thêm số thẻ vào danh bạ thụ hưởng?,"Vào mục ""Thêm người thụ hưởng"", chọn ""Thẻ"", nhập số thẻ và thông tin liên quan, sau đó xác nhận để lưu."
Làm thế nào để tắt thanh toán hóa đơn tự động?,"Vào mục ""Quản lý hóa đơn"", chọn hóa đơn cần tắt, sau đó tắt tùy chọn ""Thanh toán tự động""."
Làm thế nào để thanh toán dự nợ thẻ tín dụng qua app?,"Vào mục ""Dịch vụ thẻ"", chọn ""Thanh toán dự nợ"", nhập số tiền muốn thanh toán và xác nhận giao dịch. Tiền sẽ được trừ từ tài khoản nguồn đã chọn."
